custid,age
30001,37.70020627490021
30002,41.288485144577336
30003,28.11433636407737
30005,30.833584960896093
30007,24.352379332357575
30008,33.57795063023153
30009,33.28196136166166
30010,30.363160501958617
30011,33.77536262880953
30013,30.636464417505483
30014,28.134501569242424
30015,30.40880903593459
30016,53.663873146142045
30021,42.0619987025467
30022,41.554830322846456
30024,39.14908849072529
30025,49.43430801611453
30026,31.680674092314366
30031,52.765191174370656
30032,47.189172105487046
30033,49.76124807294772
30034,30.47234823631978
30035,39.576010700439966
30036,35.492918231782525
30037,34.382794625879185
30039,30.07902719780214
30040,29.05770327745488
30041,43.08478852147927
30042,29.83363068018442
30043,35.45557679614838
30045,29.645241915363624
30047,43.2290988025685
30048,32.66665140025198
30050,35.325498833831176
30051,38.965609109080404
30053,29.496641575648773
30054,31.13491950428037
30055,30.18670289869654
30057,40.71043992729308
30058,41.88755122099161
30060,30.4995135758718
30061,37.891124058242944
30062,47.8331180856255
30063,28.65452998507352
30064,38.15506287204729
30065,33.814482169981524
30066,34.934430428717555
30068,30.465184841369126
30070,45.318510335680514
30071,25.023037918060474
30072,32.32490250880936
30074,27.03841891177447
30075,36.841373897495714
30077,38.057204538282235
30079,48.16588618007681
30081,39.14839057116032
30082,32.861650091775296
30083,39.106359235303714
30084,28.790219759480077
30085,51.51815364361389
30088,33.061550902053455
30089,27.452578542867734
30090,30.959256492592385
30091,34.414852404700525
30092,29.082192314136478
30093,28.697978567628105
30094,31.28186596757447
30098,26.789153730767957
30099,30.874007332627308
30100,27.73089717802834
30101,34.269529441399655
30103,28.929884287793612
30104,37.88592681398365
30105,43.564414713257484
30106,30.97743189405869
30108,40.580110231098786
30110,43.57045720805356
30111,30.864550716127336
30112,32.77845708619848
30113,26.80968615857506
30114,26.091340000771105
30115,28.81231141878518
30116,44.417588893673425
30117,31.049603286051696
30118,36.40005389049806
30119,33.000158327714644
30121,38.50639976536745
30122,35.50694279899767
30123,29.473019806352124
30125,26.474203610414992
30128,38.60391185467871
30129,35.61722388588318
30132,38.38905446937008
30133,29.462317666530254
30135,36.72572592967728
30136,30.82842346201516
30138,32.99874528314395
30139,34.89428595921994
30140,30.005966495426755
30141,44.38988302720251
30143,43.22276393812367
30144,32.69812957270366
30147,27.82920228965394
30149,33.94985107823873
30151,29.829868573666364
30152,35.348616173521236
30153,35.20740171004667
30154,44.08352534655454
30155,27.482797855742614
30156,49.80168016807362
30157,35.23533575264524
30158,31.199142185103632
30159,31.69995908399943
30160,33.13237878665636
30161,32.65390432832386
30162,33.88484918221493
30163,32.92807842355116
30164,30.915942848984606
30165,32.15932603957316
30167,30.738710167013316
30168,31.697488764935144
30169,52.85767602398039
30170,36.45609548905614
30171,29.520762530507863
30172,37.92880345006296
30174,35.825606453756166
30175,38.78430010304238
30176,30.630133347105776
30177,26.76408526373417
30179,40.40292224704793
30180,34.26728133288765
30181,34.08638894053706
30182,33.732343701786775
30183,36.884116823276464
30185,31.394582019247594
30186,39.17314258585804
30188,46.83556244066784
30190,33.34573798556271
30191,31.91604522980233
30192,33.23562343582694
30193,26.16963407347607
30196,33.96762430019142
30197,34.342664818286934
30199,29.02869835661023
30201,36.70918069955722
30204,28.178094949963572
30206,31.93068279659293
30207,34.00611071318169
30210,32.55363393734278
30211,30.554868710877873
30213,38.35580903831201
30214,38.71782096444154
30215,41.91197163140511
30216,32.728048041445234
30218,41.184801996173654
30223,35.041482874853656
30225,34.3823040129907
30227,29.40830236877046
30228,26.155887358867904
30229,45.09777233704077
30230,31.513115160469727
30231,30.850282290337628
30232,25.560193968556984
30234,35.61532013361191
30235,38.076617798547986
30238,35.93596172270382
30239,33.43908289441657
30240,37.34245886766846
30241,35.06909350429667
30243,47.13672911635402
30244,30.13151251583505
30245,27.710629960071344
30247,27.61437573006672
30248,24.175004992603842
30249,48.31694729374641
30250,34.208418739270854
30251,33.092269895892706
30253,36.653239221451294
30255,47.77010573380394
30258,30.446325602118456
30260,50.2031326475574
30262,32.15489606531689
30263,35.42674103283305
30264,41.646691418013276
30265,35.04944321765221
30266,28.39571238010572
30268,29.993378945598316
30269,32.518643955205405
30270,29.95413447942418
30271,31.35674466754956
30272,27.34523976334283
30275,40.38836163125344
30276,34.943579271291334
30277,30.765600451320505
30278,35.80255830907491
30279,35.746077270682115
30280,32.72166417716797
30281,46.66460981344737
30283,30.180076128510468
30284,44.23061446892821
30285,36.512475260603466
30286,34.71944534480722
30287,26.79171410479794
30288,32.32128750284794
30289,27.92108467126107
30290,29.722654318841496
30292,37.563689685263945
30293,29.8702513688149
30294,40.810541724690076
30296,31.85257643831357
30297,35.24467566409491
30298,36.44693367949125
30300,30.39323144359498
30301,27.298437995917585
30302,40.80752370623908
30303,27.750827581633065
30306,40.47936895787031
30307,45.830714968745056
30308,26.741291485229443
30309,35.10017758141682
30310,33.466316324282374
30311,37.01271925555379
30312,33.599066079860116
30313,42.03344410299106
30314,33.85890427445415
30315,29.54329810922915
30316,33.37012855925267
30317,28.55557168226942
30318,34.89811975470302
30319,48.74730588321607
30320,33.94260211649949
30321,30.45607514736966
30324,32.296261826210255
30325,47.561569601289165
30328,31.093724366743356
30330,43.34002969634221
30332,31.051645435755425
30333,30.19259514747581
30334,29.150177466973513
30335,43.35605573770631
30336,31.020272005983504
30339,34.50262769077813
30340,27.86728148721395
30342,47.46301657849432
30343,34.144738708133005
30344,34.0600343908619
30345,38.73371776721626
30348,35.88336554390376
30350,49.52150514513797
30351,36.0080906380294
30352,29.482087385452814
30355,42.21944421212444
30356,44.239384833696725
30357,32.604945259734436
30358,35.509508297080366
30359,34.48165961055178
30360,40.63299721701303
30361,45.45353405789362
30363,27.605036243290307
30364,39.587604159664565
30365,29.419320683755625
30366,34.47269192232364
30367,37.674283764478446
30368,39.45690639151643
30369,27.458495581442612
30370,35.89747752116199
30372,37.25114126477443
30373,31.009156426080512
30375,31.355523759908543
30376,31.80076553321471
30377,31.149449326321257
30378,33.051506635559136
30379,35.20805219031663
30380,48.375441597447846
30382,37.1803125520884
30383,41.29527077542263
30384,31.152788760255977
30386,30.249429037884262
30387,27.772389098979254
30388,33.348505604048476
30389,45.11933554664368
30390,39.56689492507343
30391,29.56555814559041
30392,30.53519114574285
30394,35.54152483867463
30395,34.67438008727716
30397,33.73257741641149
30398,30.04461702652671
30399,50.91034903986987
30400,35.4255831599045
30402,35.879341287918876
30405,35.2109788935916
30406,47.30429768797892
30407,36.96406452936712
30408,35.37012296734429
30409,39.79104793566124
30410,35.0095624856746
30411,42.64590029549756
30413,37.46870017056962
30414,32.418443699081095
30418,30.97139282516024
30419,29.550714064321774
30420,29.878746795317983
30421,25.746567069458074
30422,35.45603687578068
30423,33.7991745301287
30424,25.45185179334498
30425,33.24673017143302
30428,47.267635115343786
30429,37.257071727999744
30430,36.24955320609251
30431,32.3467261319401
30432,40.679185136752665
30433,38.308206580178116
30435,36.136084335502716
30436,32.488684523661696
30438,39.45866352475023
30439,28.66179989394201
30442,42.66562651869704
30445,42.62994392380233
30446,38.3318807612546
30447,29.27407976746458
30449,34.03793246532318
30450,33.13110943486787
30451,35.03312748338347
30452,28.767582430948032
30453,50.09278914847274
30454,45.774286791561096
30457,32.00636341132544
30458,39.955618458534026
30459,42.453439328911564
30462,32.05040634132714
30465,32.81710373377208
30466,39.73911918440709
30467,28.624040746404784
30468,34.36093327810444
30471,32.472440291176135
30472,30.581490473180754
30473,32.23396658214666
30474,40.96119376405754
30475,35.68533375793078
30476,30.980725069059098
30477,30.103994442004147
30478,42.60123078405203
30480,43.34307309566093
30482,30.619093141573153
30483,54.71083377239836
30484,32.442519280254075
30485,34.77621812867851
30486,28.02433223941536
30487,41.235892630833895
30488,33.124568363717394
30490,36.9869481795735
30491,42.99636322257055
30493,34.336638684897295
30495,26.872401365256405
30496,44.11765858511865
30497,28.030166678146077
30498,29.60217231323412
30499,25.520352303064282
30501,33.35288207969861
30502,28.112037532877657
30503,39.39411664564348
30504,37.08224465612996
30505,30.36019079929274
30506,46.16499644530067
30508,27.951087512834153
30511,29.97657354381814
30513,29.67975608905423
30514,26.446880090326953
30515,30.27085025510413
30516,33.25819723013258
30519,40.18669201264914
30522,35.10357769544186
30523,25.674708262884245
30525,37.170177509189124
30527,39.02940092397588
30529,48.58825795150578
30531,32.8392200790572
30533,49.62226014593439
30534,50.54694142375329
30537,31.147769741808325
30540,41.31501406097649
30541,34.6400792691634
30542,38.903692107973235
30543,34.70832319802298
30544,33.070002103969976
30545,33.614169296412136
30546,38.703864686126835
30547,33.01724132157251
30548,41.78626105681345
30550,34.86334588646665
30551,27.661744715701623
30553,28.35641844915338
30557,37.08956080418086
30559,35.221696519523924
